ID,IS_HCP,TAXONOMY
115688,0.0,2084P0800X
115689,0.0,2084P0800X
115690,0.0,2084P0800X
115691,0.0,207RP1001X
115692,0.0,2084N0400X
115693,0.0,2084P0800X
115694,0.0,2084P0800X
115695,0.0,2084P0800X
115696,0.0,2084P0800X
115697,1.0,2084P0800X
115698,0.0,2084N0400X
115699,0.0,2084N0400X
115700,1.0,208000000X
115701,0.0,2084N0400X
115702,0.0,2084P0800X
115703,1.0,2084N0400X
115704,1.0,2084P0800X
115705,0.0,2084N0400X
115706,1.0,207RG0100X
115707,0.0,207R00000X
115708,0.0,207Q00000X
115709,0.0,2084N0400X
115710,0.0,2084P0800X
115711,1.0,207RG0100X
115712,0.0,2084P0800X
115713,0.0,2084P0800X
115714,0.0,2084P0800X
115715,0.0,2084P0800X
115716,0.0,2084P0800X
115717,0.0,2084P0800X
115718,0.0,2084P0800X
115719,0.0,2084P0800X
115720,1.0,2084N0400X
115721,0.0,2084N0400X
115722,0.0,2084N0400X
115723,0.0,2084N0400X
115724,0.0,2084P0800X
115725,0.0,2084P0800X
115726,0.0,2084N0400X
115727,0.0,2084P0800X
115728,0.0,2084P0800X
115729,0.0,2084P0800X
115730,0.0,2084N0400X
115731,0.0,207T00000X
115732,1.0,2084P0800X
115733,0.0,2084P0800X
115734,0.0,2084P0800X
115735,1.0,207RG0100X
115736,1.0,2084P0800X
115737,1.0,207RG0100X
115738,0.0,2084P0800X
115739,1.0,2084N0400X
115740,0.0,2084P0800X
115741,1.0,2084P0800X
115742,1.0,207N00000X
115743,0.0,2084N0400X
115744,0.0,2084P0800X
115745,0.0,207Q00000X
115746,0.0,2084N0400X
115747,1.0,2084P0800X
115748,1.0,2084P0800X
115749,0.0,2084N0400X
115750,0.0,2084N0400X
115751,0.0,2084P0800X
115752,0.0,2084P0800X
115753,0.0,2084P0800X
115754,1.0,207Q00000X
115755,0.0,2084P0800X
115756,0.0,2084N0400X
115757,1.0,2085R0001X
115758,0.0,207Q00000X
115759,0.0,2084N0400X
115760,0.0,207Q00000X
115761,0.0,2084P0800X
115762,0.0,2084P0800X
115763,1.0,2084N0400X
115764,1.0,2084N0400X
115765,0.0,2084N0400X
115766,0.0,2084P0800X
115767,0.0,2084P0800X
115768,0.0,207RP1001X
115769,0.0,2084P0800X
115770,1.0,2084P0800X
115771,1.0,2084P0800X
115772,1.0,207Q00000X
115773,0.0,2084N0400X
115774,0.0,2084N0400X
115775,0.0,2084P0800X
115776,0.0,2084N0400X
115777,0.0,2084N0400X
115778,1.0,208000000X
115779,1.0,2084P0800X
115780,0.0,2084P0800X
115781,0.0,2084P0800X
115782,1.0,2084P0800X
115783,0.0,2084P0800X
115784,1.0,2084N0400X
115785,1.0,207Q00000X
115786,0.0,2084P0800X
115787,0.0,2084P0800X
115788,1.0,2084P0800X
115789,0.0,2084N0400X
115790,0.0,2084P0800X
115791,0.0,2084N0400X
115792,0.0,2084P0800X
115793,0.0,2084P0800X
115794,0.0,2084P0800X
115795,0.0,2084P0800X
115796,1.0,207RG0100X
115797,0.0,2084P0800X
115798,0.0,2084N0400X
115799,1.0,2084P0800X
115800,1.0,2084P0800X
115801,0.0,2084P0800X
115802,1.0,207Q00000X
115803,0.0,2084P0800X
115804,1.0,2084N0400X
115805,0.0,207Q00000X
115806,0.0,2084N0400X
115807,0.0,2084N0400X
115808,0.0,2084P0800X
115809,0.0,2084P0800X
115810,0.0,2084P0800X
115811,0.0,2084P0800X
115812,0.0,2084N0400X
115813,0.0,207R00000X
115814,1.0,2084P0800X
115815,0.0,2084P0800X
115816,1.0,2084P0800X
115817,0.0,207Q00000X
115818,1.0,2084P0800X
115819,0.0,207R00000X
115820,0.0,2084P0800X
115821,0.0,2084P0800X
115822,0.0,2084P0800X
115823,0.0,2084P0800X
115824,0.0,2084P0800X
115825,0.0,2084N0400X
115826,1.0,2084P0800X
115827,1.0,2084P0800X
115828,1.0,2084P0800X
115829,0.0,2084P0800X
115830,0.0,2084P0800X
115831,0.0,2084P0800X
115832,0.0,2084P0800X
115833,0.0,2084P0800X
115834,0.0,2084P0800X
115835,0.0,2084P0800X
115836,1.0,2084P0800X
115837,0.0,2084N0400X
115838,0.0,2084P0800X
115839,1.0,2084P0800X
115840,0.0,2084P0800X
115841,0.0,2084N0400X
115842,1.0,2084P0800X
115843,1.0,207RG0100X
115844,0.0,2084P0800X
115845,0.0,2084P0800X
115846,0.0,2084P0800X
115847,0.0,2084P0800X
115848,0.0,2084P0800X
115849,0.0,2084P0800X
115850,0.0,2084P0800X
115851,0.0,2084N0400X
115852,0.0,2084P0800X
115853,0.0,2084P0800X
115854,1.0,2084N0400X
115855,0.0,2084N0400X
115856,0.0,2084P0800X
115857,1.0,2084P0800X
115858,0.0,2084P0800X
115859,0.0,207R00000X
115860,0.0,2084P0800X
115861,1.0,2084P0800X
115862,0.0,207R00000X
115863,0.0,2084P0800X
115864,0.0,390200000X
115865,0.0,2084P0800X
115866,0.0,207Q00000X
115867,1.0,207RP1001X
115868,1.0,207R00000X
115869,1.0,2084P0800X
115870,1.0,2084P0800X
115871,0.0,2084N0400X
115872,0.0,2084N0400X
115873,0.0,2084P0800X
115874,0.0,207R00000X
115875,0.0,2084P0800X
115876,0.0,2084P0800X
115877,1.0,2084N0400X
115878,1.0,2084P0800X
115879,1.0,2084P0800X
115880,0.0,207Q00000X
115881,0.0,2084P0800X
115882,0.0,2084P0800X
115883,0.0,2084P0800X
115884,0.0,2084N0400X
115885,0.0,2084P0800X
115886,1.0,2084N0400X
115887,1.0,2084P0800X
115888,0.0,2084P0800X
115889,0.0,2084P0800X
115890,0.0,2084P0800X
115891,0.0,2084P0800X
115892,0.0,2084P0800X
115893,0.0,2084N0400X
115894,0.0,2084N0400X
115895,0.0,2084P0800X
115896,0.0,2084P0800X
115897,1.0,2084P0800X
115898,0.0,2084P0800X
115899,0.0,2084N0400X
115900,0.0,2084P0800X
115901,1.0,2085R0001X
115902,1.0,2084P0800X
115903,0.0,2084P0800X
115904,0.0,207UN0901X
115905,0.0,2084P0800X
115906,0.0,207R00000X
115907,0.0,2084P0800X
115908,0.0,2084N0400X
115909,1.0,2084P0800X
115910,0.0,2084P0800X
115911,0.0,2084P0800X
115912,0.0,2084P0800X
115913,0.0,2084P0800X
115914,1.0,2084N0400X
115915,1.0,2084N0400X
115916,0.0,2084N0400X
115917,1.0,2084N0400X
115918,1.0,2084P0800X
115919,1.0,2084N0400X
115920,1.0,2084P0800X
115921,0.0,2084N0400X
115922,0.0,2084P0800X
115923,0.0,2084P0800X
115924,0.0,2084P0800X
115925,0.0,2084P0800X
115926,0.0,2084P0800X
115927,0.0,2084N0400X
115928,0.0,2084P0800X
115929,0.0,207Q00000X
115930,1.0,2084N0400X
115931,0.0,2084P0800X
115932,1.0,2084N0400X
115933,1.0,207W00000X
115934,0.0,2084P0800X
115935,0.0,2084N0400X
115936,0.0,2084N0400X
115937,1.0,2084N0400X
115938,0.0,2084P0800X
115939,1.0,207RG0100X
115940,0.0,2084P0800X
115941,0.0,2084N0400X
115942,1.0,2084P0800X
115943,0.0,2084P0800X
115944,0.0,2084N0400X
115945,1.0,2084P0800X
115946,0.0,2084P0800X
115947,1.0,2084P0800X
115948,0.0,2084N0400X
115949,1.0,2084P0800X
115950,0.0,2084N0400X
115951,0.0,2084P0800X
115952,0.0,207R00000X
115953,0.0,2084P0800X
115954,0.0,2084P0800X
115955,1.0,2084P0800X
115956,0.0,2084P0800X
115957,0.0,2084P0800X
115958,0.0,207R00000X
115959,0.0,207R00000X
115960,0.0,2084P0800X
115961,0.0,207R00000X
115962,0.0,2084N0400X
115963,0.0,2084P0800X
115964,1.0,2084P0800X
115965,0.0,2084P0800X
115966,0.0,2084P0800X
115967,1.0,2084P0800X
115968,0.0,2084N0400X
115969,1.0,2084P0800X
115970,0.0,2084P0800X
115971,0.0,2084P0800X
115972,0.0,2084N0400X
115973,0.0,2084P0800X
115974,0.0,207R00000X
115975,1.0,207RC0000X
115976,0.0,2084P0800X
115977,0.0,2084N0400X
115978,0.0,2084P0800X
115979,0.0,207Q00000X
115980,0.0,2084P0800X
115981,0.0,2084P0800X
115982,0.0,2084P0800X
115983,0.0,2084P0800X
115984,0.0,2084N0400X
115985,0.0,2084P0800X
115986,1.0,2084P0800X
115987,0.0,2084P0800X
115988,0.0,2084P0800X
115989,1.0,2084N0400X
115990,0.0,207Q00000X
115991,0.0,207Q00000X
115992,1.0,2084P0800X
115993,0.0,2084P0800X
115994,0.0,2084N0400X
115995,1.0,2084P0800X
115996,1.0,2084N0400X
115997,0.0,2084P0800X
115998,1.0,2084N0400X
115999,1.0,2084P0800X
116000,0.0,2084P0800X
116001,0.0,2084N0400X
116002,0.0,2084P0800X
116003,0.0,2084P0800X
116004,0.0,2084N0400X
116005,0.0,2084P0800X
116006,0.0,2084N0400X
116007,0.0,2084P0800X
116008,0.0,2084P0800X
116009,0.0,2084P0800X
116010,1.0,2084P0800X
116011,1.0,2084N0400X
116012,1.0,208000000X
116013,1.0,2084P0800X
116014,0.0,2084P0800X
116015,1.0,2084N0400X
116016,1.0,207RN0300X
116017,0.0,2084P0800X
116018,0.0,2084P0800X
116019,0.0,363LA2100X
116020,0.0,2084P0800X
116021,0.0,2084N0400X
116022,1.0,2084P0800X
116023,0.0,2084P0800X
116024,0.0,2084P0800X
116025,1.0,2084N0400X
116026,1.0,2084N0400X
116027,0.0,2084N0400X
116028,0.0,2084P0800X
116029,1.0,207Q00000X
116030,1.0,2084P0800X
116031,0.0,2084P0800X
116032,0.0,2084P0800X
116033,0.0,2084N0400X
116034,1.0,207RG0100X
116035,1.0,2084P0800X
116036,0.0,2084P0800X
116037,0.0,2084P0800X
116038,1.0,2084N0400X
116039,0.0,2084P0800X
116040,0.0,2084P0800X
116041,1.0,207Q00000X
116042,0.0,2084N0400X
116043,0.0,2084P0800X
116044,0.0,2084P0800X
116045,1.0,2084P0800X
116046,0.0,2084P0800X
116047,0.0,2084N0400X
116048,0.0,2084P0800X
116049,0.0,2084P0800X
116050,0.0,2084P0800X
116051,1.0,2084P0800X
116052,1.0,2085R0001X
116053,1.0,2084P0800X
116054,0.0,2084N0400X
116055,0.0,2084P0800X
116056,1.0,2084N0400X
116057,0.0,2084P0800X
116058,0.0,2084P0800X
116059,0.0,2084P0800X
116060,1.0,2084N0400X
116061,0.0,2084P0800X
116062,0.0,2084N0400X
116063,0.0,2084N0400X
116064,1.0,2084N0400X
116065,1.0,2084P0800X
116066,1.0,2084N0400X
116067,0.0,2084P0800X
116068,0.0,2084P0800X
116069,1.0,2084P0800X
116070,1.0,2084P0800X
116071,0.0,2084P0800X
116072,1.0,2084P0800X
116073,0.0,2084N0400X
116074,1.0,2084P0800X
116075,0.0,2084P0800X
116076,1.0,2084N0400X
116077,0.0,2084P0800X
116078,0.0,2084N0400X
116079,1.0,2084P0800X
116080,0.0,2084N0400X
116081,0.0,2084P0800X
116082,1.0,208000000X
116083,0.0,2084N0400X
116084,0.0,2084P0800X
116085,1.0,2084N0400X
116086,0.0,2084N0400X
116087,1.0,204D00000X
116088,0.0,2084P0800X
116089,0.0,207Q00000X
116090,0.0,2084N0400X
116091,0.0,2084P0800X
116092,1.0,207RG0100X
116093,0.0,2084P0800X
116094,0.0,2084P0800X
116095,0.0,207Q00000X
116096,0.0,207Q00000X
116097,0.0,2084P0800X
116098,1.0,2084P0800X
116099,0.0,2084P0800X
116100,1.0,2084N0400X
116101,0.0,2084N0400X
116102,0.0,2084P0800X
116103,0.0,2084N0400X
116104,0.0,2084N0400X
116105,0.0,2084N0400X
116106,1.0,2084N0400X
116107,0.0,2084P0800X
116108,0.0,207Q00000X
116109,0.0,207R00000X
116110,0.0,2084P0800X
116111,0.0,207Q00000X
116112,0.0,2084P0800X
116113,0.0,2084P0800X
116114,0.0,2084P0800X
116115,1.0,2084N0400X
116116,0.0,2084P0800X
116117,0.0,2084P0800X
116118,0.0,2084P0800X
116119,0.0,2084P0800X
116120,0.0,2084N0400X
116121,0.0,2084N0400X
116122,0.0,207Q00000X
116123,0.0,2084P0800X
116124,0.0,2084N0400X
116125,1.0,2084P0800X
116126,0.0,2084P0800X
116127,1.0,2084P0800X
116128,0.0,2084P0800X
116129,0.0,2084P0800X
116130,0.0,2084P0800X
116131,0.0,207Q00000X
116132,0.0,2084P0800X
116133,0.0,2084P0800X
116134,1.0,207RP1001X
116135,1.0,2084P0800X
116136,1.0,2084N0400X
116137,0.0,2084N0400X
116138,0.0,2084P0800X
116139,0.0,2084P0800X
116140,0.0,2084P0800X
116141,0.0,2084P0800X
116142,0.0,2084P0800X
116143,0.0,2084P0800X
116144,0.0,2084P0800X
116145,0.0,2084P0800X
116146,0.0,2084P0800X
116147,1.0,2084N0400X
116148,0.0,207Q00000X
116149,0.0,2084P0800X
116150,0.0,2084P0800X
116151,0.0,2084P0800X
116152,1.0,2084P0800X
116153,1.0,2084P0800X
116154,0.0,2084N0400X
116155,0.0,2084P0800X
116156,0.0,207R00000X
116157,0.0,207R00000X
116158,0.0,2084P0800X
116159,0.0,207RC0000X
116160,1.0,207Q00000X
116161,0.0,2084P0800X
116162,0.0,2084P0800X
116163,0.0,2084P0800X
116164,0.0,2084P0800X
116165,0.0,2084P0800X
116166,1.0,207RG0100X
116167,0.0,2084P0800X
116168,1.0,2084P0800X
116169,0.0,2084P0800X
116170,0.0,2084P0800X
116171,1.0,2084P0800X
116172,1.0,2084N0400X
116173,1.0,2084P0800X
116174,0.0,207Q00000X
116175,0.0,2084P0800X
116176,0.0,2084N0400X
116177,0.0,2084P0800X
116178,1.0,2084P0800X
116179,0.0,2084N0400X
116180,0.0,2084P0800X
116181,0.0,2084P0800X
116182,0.0,2084N0400X
116183,0.0,2084P0800X
116184,0.0,2084N0400X
116185,0.0,2084P0800X
116186,0.0,2084P0800X
116187,0.0,2084P0800X
116188,0.0,2084N0400X
116189,0.0,2084P0800X
116190,0.0,2084N0400X
116191,0.0,2084P0800X
116192,0.0,2084P0800X
116193,0.0,2084P0800X
116194,0.0,2084N0400X
116195,0.0,2084P0800X
116196,0.0,2084P0800X
116197,0.0,2084P0800X
116198,0.0,2084P0800X
116199,0.0,2084P0800X
116200,1.0,2084P0800X
116201,0.0,2084P0800X
116202,1.0,207T00000X
116203,0.0,2084P0800X
116204,1.0,2084N0400X
116205,0.0,207Q00000X
116206,0.0,2084N0400X
116207,0.0,2084P0800X
116208,0.0,2084N0400X
116209,0.0,207Q00000X
116210,0.0,2084P0800X
116211,0.0,2084N0400X
116212,0.0,2084P0800X
116213,0.0,2084P0800X
116214,0.0,2084N0400X
116215,0.0,2084P0800X
116216,0.0,207R00000X
116217,0.0,2084P0800X
116218,0.0,174400000X
116219,1.0,207QA0505X
116220,0.0,2084P0800X
116221,0.0,2084P0800X
116222,1.0,2084P0800X
116223,0.0,2084N0400X
116224,0.0,2084P0800X
116225,1.0,207R00000X
116226,0.0,2084P0800X
116227,0.0,2084P0800X
116228,1.0,363LF0000X
116229,1.0,2084N0400X
116230,0.0,2084P0800X
116231,0.0,2084P0800X
116232,0.0,2084P0800X
116233,0.0,2084P0800X
116234,0.0,2084P0800X
116235,0.0,2084P0800X
116236,1.0,2084N0400X
116237,1.0,2084N0400X
116238,0.0,2084P0800X
116239,1.0,207Q00000X
116240,1.0,207RG0100X
116241,0.0,2084P0800X
116242,0.0,207Q00000X
116243,0.0,2084N0400X
116244,1.0,2084P0800X
116245,0.0,2084P0800X
116246,1.0,2084P0800X
116247,0.0,2084P0800X
116248,0.0,2084P0800X
116249,0.0,2084P0800X
116250,0.0,2084P0800X
116251,0.0,2084N0400X
116252,0.0,2084P0800X
116253,1.0,2084P0800X
116254,1.0,2084P0800X
116255,1.0,2084N0400X
116256,0.0,2084P0800X
116257,0.0,2084N0400X
116258,0.0,2084P0800X
116259,0.0,2084N0400X
116260,0.0,2084P0800X
116261,0.0,2084P0800X
116262,0.0,2084P0800X
116263,0.0,2084N0400X
116264,0.0,2084N0400X
116265,0.0,2084P0800X
116266,1.0,2084N0400X
116267,1.0,2084P0800X
116268,0.0,2084P0800X
116269,0.0,2084N0400X
116270,0.0,2084P0800X
116271,0.0,2084N0400X
116272,0.0,2084P0800X
116273,1.0,2084P0800X
116274,0.0,2084P0800X
116275,0.0,2084P0800X
116276,0.0,2084P0800X
116277,0.0,2084P0800X
116278,0.0,2084P0800X
116279,0.0,2084N0400X
116280,1.0,2084P0800X
116281,1.0,2084N0400X
116282,0.0,2084P0800X
116283,0.0,2084N0400X
116284,0.0,2084N0400X
116285,0.0,207R00000X
116286,0.0,2084P0800X
116287,1.0,2084P0800X
116288,0.0,2084N0400X
116289,0.0,207Q00000X
116290,1.0,2084N0400X
116291,1.0,2084N0400X
116292,1.0,2084P0800X
116293,0.0,2084P0800X
116294,0.0,2084P0800X
116295,1.0,2084P0800X
116296,0.0,2084P0800X
116297,1.0,208000000X
116298,1.0,2084P0800X
116299,0.0,2084P0800X
116300,0.0,2084P0800X
116301,0.0,2084P0800X
116302,1.0,2084N0400X
116303,0.0,2084P0800X
116304,1.0,2084P0800X
116305,1.0,2084P0800X
116306,1.0,2084N0400X
116307,0.0,2084P0800X
116308,0.0,2084P0800X
116309,0.0,207Q00000X
116310,0.0,2084N0400X
116311,1.0,2084P0800X
116312,0.0,2084P0800X
116313,1.0,363LF0000X
116314,0.0,2084P0800X
116315,0.0,2084P0800X
116316,0.0,2084N0400X
116317,1.0,2084N0400X
116318,0.0,2084N0400X
116319,1.0,207N00000X
116320,0.0,363A00000X
116321,0.0,207Q00000X
116322,0.0,2084P0800X
116323,0.0,2084P0800X
116324,0.0,2084N0400X
116325,0.0,2084N0400X
116326,0.0,2084P0800X
116327,0.0,2084P0800X
116328,0.0,2084N0400X
116329,0.0,2084N0400X
116330,1.0,2084P0800X
116331,0.0,2084P0800X
116332,1.0,207Q00000X
116333,0.0,2084P0800X
116334,0.0,2084P0800X
116335,1.0,2084P0800X
116336,0.0,2084P0800X
116337,0.0,2084P0800X
116338,1.0,2084N0400X
116339,0.0,207R00000X
116340,0.0,2084P0800X
116341,0.0,2084N0400X
116342,1.0,2084P0800X
116343,1.0,207RG0100X
116344,0.0,2084P0800X
116345,1.0,208000000X
116346,0.0,2084P0800X
116347,0.0,363A00000X
116348,0.0,2084P0800X
116349,0.0,2084P0800X
116350,0.0,2084P0800X
116351,1.0,2084N0400X
116352,0.0,2084P0800X
116353,1.0,2084P0800X
116354,0.0,2084N0600X
116355,0.0,2084P0800X
116356,0.0,2084P0800X
116357,1.0,2084P0800X
116358,0.0,2084N0400X
116359,0.0,2084P0800X
116360,0.0,2084P0800X
116361,1.0,2084N0400X
116362,0.0,2084N0400X
116363,0.0,2084P0800X
116364,0.0,2084P0800X
116365,1.0,2084P0800X
116366,0.0,2084P0800X
116367,0.0,2084P0800X
116368,0.0,2084P0800X
116369,0.0,2084N0400X
116370,1.0,2084A2900X
116371,0.0,2084P0800X
116372,1.0,2084N0400X
116373,0.0,2084P0800X
116374,0.0,390200000X
116375,0.0,2084P0800X
116376,0.0,2084P0800X
116377,0.0,2084P0800X
116378,0.0,2084P0800X
116379,0.0,2084P0800X
116380,0.0,2084P0800X
116381,0.0,2084N0400X
116382,0.0,2084N0400X
116383,0.0,2084P0800X
116384,0.0,2084P0800X
116385,0.0,2084N0400X
116386,0.0,2084P0800X
116387,0.0,2084N0400X
116388,1.0,2084N0400X
116389,0.0,2084P0800X
116390,0.0,2084P0800X
116391,0.0,2084P0800X
116392,1.0,2084P0800X
116393,0.0,2084P0800X
116394,1.0,207R00000X
116395,0.0,2084P0800X
116396,0.0,2084P0800X
116397,0.0,207Q00000X
116398,0.0,2084N0400X
116399,1.0,2084N0400X
116400,0.0,2084P0800X
116401,0.0,2084P0800X
116402,0.0,207Q00000X
116403,0.0,207R00000X
116404,1.0,2084P0800X
116405,0.0,2084P0800X
116406,1.0,2084P0800X
116407,0.0,2084N0400X
116408,0.0,2084P0800X
116409,0.0,2084P0800X
116410,0.0,2084P0800X
116411,0.0,2084P0800X
116412,0.0,207Q00000X
116413,0.0,2084P0800X
116414,0.0,2084P0800X
116415,0.0,2084P0800X
116416,0.0,2084P0800X
116417,0.0,207R00000X
116418,1.0,2084N0400X
116419,0.0,2084P0800X
116420,0.0,2084N0400X
116421,0.0,2084P0800X
116422,0.0,2084P0800X
116423,0.0,2084N0400X
116424,1.0,2084P0800X
116425,0.0,2084P0800X
116426,0.0,2084N0400X
116427,1.0,2084P0800X
116428,0.0,2084P0800X
116429,0.0,2084P0800X
116430,0.0,2084P0800X
116431,1.0,2084P0800X
116432,1.0,2084N0400X
116433,0.0,207Q00000X
116434,1.0,207L00000X
116435,0.0,207R00000X
116436,1.0,2084P0800X
116437,0.0,2084P0800X
116438,1.0,2084N0400X
116439,0.0,2084P0800X
116440,0.0,2084P0800X
116441,1.0,2084P0800X
116442,0.0,2084P0800X
116443,0.0,2084P0800X
116444,0.0,2084P0800X
116445,1.0,2084P0800X
116446,0.0,207Q00000X
116447,0.0,207Q00000X
116448,0.0,207Q00000X
116449,0.0,207Q00000X
116450,0.0,2084P0800X
116451,0.0,2084N0400X
116452,0.0,2084P0800X
116453,0.0,2084N0400X
116454,0.0,2084N0400X
116455,0.0,2084P0800X
116456,0.0,2084P0800X
116457,0.0,2084N0400X
116458,1.0,2084P0800X
116459,0.0,2084P0800X
116460,0.0,2084P0800X
116461,1.0,2084P0800X
116462,0.0,174400000X
116463,0.0,2084P0800X
116464,0.0,2084P0800X
116465,0.0,2084P0800X
116466,1.0,2084P0800X
116467,0.0,207Q00000X
116468,0.0,207Q00000X
116469,0.0,207Q00000X
116470,0.0,2084P0800X
116471,0.0,2084N0400X
116472,1.0,2084P0800X
116473,1.0,2084P0800X
116474,1.0,2084P0800X
116475,0.0,2084P0800X
116476,1.0,2084P0800X
116477,1.0,2084P0800X
116478,0.0,2084P0800X
116479,0.0,2084P0800X
116480,1.0,2084P0800X
116481,1.0,2084N0400X
116482,0.0,2084P0800X
116483,0.0,2084P0800X
116484,1.0,2084P0800X
116485,0.0,2084N0400X
116486,0.0,2084P0800X
116487,0.0,2084P0800X
116488,0.0,207Q00000X
116489,0.0,2084P0800X
116490,0.0,2084P0800X
116491,1.0,2084P0800X
116492,0.0,2084P0800X
116493,0.0,2084P0800X
116494,0.0,2084P0800X
116495,1.0,2084N0400X
116496,1.0,2084N0400X
116497,1.0,2084P0800X
116498,0.0,2084P0800X
116499,1.0,207RG0100X
116500,0.0,2084N0400X
116501,1.0,2084N0400X
116502,0.0,2084P0800X
